,x,y,date
96,-123.3724469,48.47536451,2014-12-09T08:40:00
97,-123.44906,48.57786694,2015-01-05T08:00:00
98,-123.329553,48.43146793,2012-07-26T11:00:00
99,-123.3543527,48.43811284,2013-08-09T04:35:00
100,-123.3891892,48.43139318,2012-04-15T09:30:00
101,-123.374126,48.53034706,2014-10-09T06:50:00
102,-123.4124494,48.48078757,2015-01-14T17:00:00
103,-123.40687040000002,48.43872141,2014-05-21T16:10:00
104,-123.3328414,48.45871119,2009-02-10T14:00:00
105,-123.3108044,48.44574257,2015-01-16T17:40:00
106,-123.35221229999999,48.43504853,2015-02-03T16:00:00
107,-123.33655890000001,48.46375187,2015-02-06T10:50:00
108,-123.34035159999998,48.42668034,2014-07-17T15:00:00
109,-123.3219409,48.44115918,2011-02-08T00:10:00
110,-123.3573139,48.41271725,2013-03-11T12:10:00
111,-123.3620024,48.42601111,2014-06-23T17:00:00
112,-123.37995169999999,48.43543292,2015-03-05T13:40:00
113,-123.30250559999999,48.42331275,2015-03-04T12:00:00
114,-123.3246017,48.44282462,2015-03-06T08:45:00
115,-123.3984268,48.48075201,2013-05-11T00:00:00
116,-123.3959055,48.45616042,2013-04-24T14:00:00
117,-123.349632,48.46681089,2015-02-12T08:05:00
118,-123.3097529,48.46839724,2015-03-18T12:30:00
119,-123.42397209999999,48.46845415,2015-03-27T08:00:00
120,-123.3349979,48.43608423,2015-03-23T09:00:00
121,-123.41800459999999,48.63903085,2015-02-26T07:00:00
122,-123.4049606,48.48124273,2015-04-04T14:30:00
123,-123.3748662,48.44902329,2014-03-26T08:00:00
124,-123.3808422,48.45612307,2011-09-16T16:30:00
125,-123.3117807,48.46204442,2015-04-07T00:00:00
126,-123.3990812,48.43125792,2014-06-11T11:30:00
127,-123.35901979999998,48.43881039,2013-10-24T07:30:00
128,-123.37489840000002,48.44903752,2015-04-14T07:50:00
129,-123.38712930000001,48.49230744,2015-03-22T16:00:00
130,-123.37691550000001,48.4533,2015-04-02T16:40:00
131,-123.3565843,48.42543087,2015-04-28T07:20:00
132,-123.3706005,48.44514903,2015-05-04T16:15:00
133,-123.3619809,48.46671841,2014-11-20T08:10:00
134,-123.30952759999998,48.46391905,2015-04-21T16:30:00
135,-123.32236470000001,48.43211573,2014-05-15T08:10:00
136,-123.37910409999999,48.44496684,2012-07-25T18:00:00
137,-123.35936840000001,48.42753645,2014-01-14T08:15:00
138,-123.46193079999999,48.45870763,2015-09-23T08:30:00
139,-123.3774412,48.42742076,2015-11-27T07:50:00
140,-123.38789109999999,48.430435700000004,2015-11-27T07:45:00
141,-123.46619199999999,48.45767467,2015-12-16T07:15:00
142,-123.39723590000001,48.47095806,2015-12-18T08:05:00
143,-123.4655185,48.45781224,2015-12-08T07:05:00
144,-123.3626246,48.42430952,2015-10-30T17:00:00
145,-123.3818293,48.43691704,2015-12-22T07:30:00
146,-123.3327341,48.46868178,2015-12-06T20:25:00
147,-123.4193695,48.43734233,2015-03-15T09:10:00
148,-123.41928090000002,48.43729601,2015-08-11T09:10:00
149,-123.3368111,48.42664119,2016-02-09T08:45:00
150,-123.36321470000001,48.47015071,2016-02-26T09:30:00
151,-123.32195159999998,48.4460735,2016-03-16T17:40:00
152,-123.36711470000002,48.42938921,2016-03-29T08:00:00
153,-123.3740884,48.42813268,2016-04-12T09:30:00
154,-123.40486940000001,48.45978197,2016-04-20T17:00:00
155,-123.38068429999998,48.45606815,2016-04-20T19:40:00
156,-123.36447,48.42801878,2016-04-14T07:00:00
157,-123.3600605,48.47053838,2016-04-01T16:20:00
158,-123.37573529999999,48.45082367,2015-12-11T08:05:00
159,-123.38655530000001,48.49120001,2016-01-05T08:00:00
160,-123.3227509,48.42644896,2014-05-15T14:00:00
161,-123.3712077,48.42814692,2014-06-04T16:10:00
162,-123.384726,48.43038943,2016-05-16T07:50:00
163,-123.3367413,48.42665899,2016-05-05T15:10:00
164,-123.3774412,48.53239323,2016-05-09T17:00:00
165,-123.3537662,48.42720955,2016-05-27T10:00:00
166,-123.37070349999999,48.44512341,2015-09-09T09:00:00
167,-123.4095716,48.42986748,2014-06-02T16:10:00
168,-123.37483940000001,48.44893789,2011-03-10T07:20:00
169,-123.4959841,48.44758578,2015-06-03T08:20:00
170,-123.41459509999999,48.44779927,2016-06-12T16:30:00
171,-123.39663290000001,48.43579238,2012-07-13T16:15:00
172,-123.35614440000002,48.427363799999995,2016-05-04T16:05:00
173,-123.3949989,48.46104839,2015-08-18T20:35:00
174,-123.3234429,48.43221183,2016-01-07T08:50:00
175,-123.36708780000001,48.43101944,2016-06-22T16:20:00
176,-123.39668870000001,48.45787873,2016-07-04T17:45:00
177,-123.37785420000002,48.45640768,2016-07-10T11:30:00
178,-123.372758,48.42792801,2016-07-06T12:05:00
179,-123.3320206,48.42875561,2015-08-07T17:30:00
180,-123.38894779999998,48.43739216,2016-08-26T09:50:00
181,-123.46376540000001,48.45114034,2016-08-17T07:05:00
182,-123.3371028,48.4265057,2015-07-15T13:00:00
183,-123.41373279999999,48.43746779,2016-01-06T12:15:00
184,-123.3810568,48.44111647,2016-08-29T19:00:00
185,-123.3439551,48.44834545,2016-04-02T12:30:00
186,-123.39031709999999,48.45826206,2016-10-21T07:30:00
187,-123.332305,48.40877897,2016-10-23T13:00:00
188,-123.3561659,48.4235833,2016-10-16T11:00:00
189,-123.3708215,48.461197799999994,2016-11-08T17:25:00
190,-123.37011869999999,48.42629589,2016-11-11T14:25:00
191,-123.38783470000001,48.43049888,2016-04-13T16:15:00
192,-123.4094949,48.42990934,2015-06-13T16:05:00
193,-123.3659613,48.43117962,2015-08-13T22:00:00
194,-123.35859599999999,48.4256231,2016-02-23T08:50:00
195,-123.3579254,48.41285255,2016-10-21T17:05:00
